Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = do, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "old2.jags", 
    parEstFile = "oldratings2.txt", posteriorFile = "oldratingsmod2.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
5       po_A     5
6       po_B     6
7       q1_A     7
8       q1_B     8
9       q2_A     9
10      q2_B    10
11      q5_A     9
12      q5_B    10
13      q6_A     7
14      q6_B     8
15        r1    11
16        r2    12
17        r5    13
18        r6    14

$thetaUnique
 [1] "b_A"  "b_B"  "pn_A" "pn_B" "po_A" "po_B" "q1_A" "q1_B" "q2_A" "q2_B" "r1"  
[12] "r2"   "r5"   "r6"  

$thetaFixed
NULL

$MPT
      Tree Category
1  T_A_New  A_New_1
2  T_A_New  A_New_2
3  T_A_New  A_New_3
4  T_A_New  A_New_4
5  T_A_New  A_New_5
6  T_A_New  A_New_6
7  T_A_Old  A_Old_1
8  T_A_Old  A_Old_2
9  T_A_Old  A_Old_3
10 T_A_Old  A_Old_4
11 T_A_Old  A_Old_5
12 T_A_Old  A_Old_6
13 T_B_New  B_New_1
14 T_B_New  B_New_2
15 T_B_New  B_New_3
16 T_B_New  B_New_4
17 T_B_New  B_New_5
18 T_B_New  B_New_6
19 T_B_Old  B_Old_1
20 T_B_Old  B_Old_2
21 T_B_Old  B_Old_3
22 T_B_Old  B_Old_4
23 T_B_Old  B_Old_5
24 T_B_Old  B_Old_6
                                                                                                  Equation
1                                          theta[3,n]*theta[11,n]+(1-theta[3,n])*(1-theta[1,n])*theta[7,n]
2           theta[3,n]*(1-theta[11,n])*theta[12,n]+(1-theta[3,n])*(1-theta[1,n])*(1-theta[7,n])*theta[9,n]
3   theta[3,n]*(1-theta[11,n])*(1-theta[12,n])+(1-theta[3,n])*(1-theta[1,n])*(1-theta[7,n])*(1-theta[9,n])
4                                                  (1-theta[3,n])*theta[1,n]*(1-theta[7,n])*(1-theta[9,n])
5                                                      (1-theta[3,n])*theta[1,n]*(1-theta[7,n])*theta[9,n]
6                                                                     (1-theta[3,n])*theta[1,n]*theta[7,n]
7                                                                 (1-theta[5,n])*(1-theta[1,n])*theta[7,n]
8                                                  (1-theta[5,n])*(1-theta[1,n])*(1-theta[7,n])*theta[9,n]
9                                              (1-theta[5,n])*(1-theta[1,n])*(1-theta[7,n])*(1-theta[9,n])
10      theta[5,n]*(1-theta[14,n])*(1-theta[13,n])+(1-theta[5,n])*theta[1,n]*(1-theta[7,n])*(1-theta[9,n])
11              theta[5,n]*(1-theta[14,n])*theta[13,n]+(1-theta[5,n])*theta[1,n]*(1-theta[7,n])*theta[9,n]
12                                             theta[5,n]*theta[14,n]+(1-theta[5,n])*theta[1,n]*theta[7,n]
13                                         theta[4,n]*theta[11,n]+(1-theta[4,n])*(1-theta[2,n])*theta[8,n]
14         theta[4,n]*(1-theta[11,n])*theta[12,n]+(1-theta[4,n])*(1-theta[2,n])*(1-theta[8,n])*theta[10,n]
15 theta[4,n]*(1-theta[11,n])*(1-theta[12,n])+(1-theta[4,n])*(1-theta[2,n])*(1-theta[8,n])*(1-theta[10,n])
16                                                (1-theta[4,n])*theta[2,n]*(1-theta[8,n])*(1-theta[10,n])
17                                                    (1-theta[4,n])*theta[2,n]*(1-theta[8,n])*theta[10,n]
18                                                                    (1-theta[4,n])*theta[2,n]*theta[8,n]
19                                                                (1-theta[6,n])*(1-theta[2,n])*theta[8,n]
20                                                (1-theta[6,n])*(1-theta[2,n])*(1-theta[8,n])*theta[10,n]
21                                            (1-theta[6,n])*(1-theta[2,n])*(1-theta[8,n])*(1-theta[10,n])
22     theta[6,n]*(1-theta[14,n])*(1-theta[13,n])+(1-theta[6,n])*theta[2,n]*(1-theta[8,n])*(1-theta[10,n])
23             theta[6,n]*(1-theta[14,n])*theta[13,n]+(1-theta[6,n])*theta[2,n]*(1-theta[8,n])*theta[10,n]
24                                             theta[6,n]*theta[14,n]+(1-theta[6,n])*theta[2,n]*theta[8,n]
                                                     Eqn
1                          pn_A*r1+(1-pn_A)*(1-b_A)*q1_A
2          pn_A*(1-r1)*r2+(1-pn_A)*(1-b_A)*(1-q1_A)*q2_A
3  pn_A*(1-r1)*(1-r2)+(1-pn_A)*(1-b_A)*(1-q1_A)*(1-q2_A)
4                         (1-pn_A)*b_A*(1-q6_A)*(1-q5_A)
5                             (1-pn_A)*b_A*(1-q6_A)*q5_A
6                                      (1-pn_A)*b_A*q6_A
7                                  (1-po_A)*(1-b_A)*q1_A
8                         (1-po_A)*(1-b_A)*(1-q1_A)*q2_A
9                     (1-po_A)*(1-b_A)*(1-q1_A)*(1-q2_A)
10     po_A*(1-r6)*(1-r5)+(1-po_A)*b_A*(1-q6_A)*(1-q5_A)
11             po_A*(1-r6)*r5+(1-po_A)*b_A*(1-q6_A)*q5_A
12                             po_A*r6+(1-po_A)*b_A*q6_A
13                         pn_B*r1+(1-pn_B)*(1-b_B)*q1_B
14         pn_B*(1-r1)*r2+(1-pn_B)*(1-b_B)*(1-q1_B)*q2_B
15 pn_B*(1-r1)*(1-r2)+(1-pn_B)*(1-b_B)*(1-q1_B)*(1-q2_B)
16                        (1-pn_B)*b_B*(1-q6_B)*(1-q5_B)
17                            (1-pn_B)*b_B*(1-q6_B)*q5_B
18                                     (1-pn_B)*b_B*q6_B
19                                 (1-po_B)*(1-b_B)*q1_B
20                        (1-po_B)*(1-b_B)*(1-q1_B)*q2_B
21                    (1-po_B)*(1-b_B)*(1-q1_B)*(1-q2_B)
22     po_B*(1-r6)*(1-r5)+(1-po_B)*b_B*(1-q6_B)*(1-q5_B)
23             po_B*(1-r6)*r5+(1-po_B)*b_B*(1-q6_B)*q5_B
24                             po_B*r6+(1-po_B)*b_B*q6_B

$eqnfile
[1] "2htmratings2.eqn"

$data
   A_New_1 A_New_2 A_New_3 A_New_4 A_New_5 A_New_6 A_Old_1 A_Old_2 A_Old_3 A_Old_4
1        7       7       4       1       1       0       3       4       5       3
2        8       8       4       0       0       0       2       3       6       5
3        7       9       1       2       1       0       3       3       6       3
4        7       6       3       1       2       1       3       3       8       4
5        6       5       4       1       2       2       0       1       6       7
6        4       6       6       2       1       1       1       5       8       3
7        5       7       4       2       0       2       2       1       4       7
8        5       5       6       2       1       1       3       3       4       4
9        6       7       6       1       0       0       2       4       6       4
10       8       4       3       2       2       1       3       4       4       4
11       9       3       3       2       2       1       2       2       6       3
12       5       7       5       2       0       1       1       3       7       6
13       8       5       5       2       0       0       3       4       5       3
14       5       7       4       2       2       0       2       3       5       4
15       7       6       4       2       1       0       1       4       5       5
16       4       7       5       1       2       1       1       5       7       4
17       8       4       4       1       1       2       3       2       5       2
18       3       6       7       2       1       1       1       4       6       3
19       5       6       5       1       1       2       2       2       7       2
20       8       7       3       2       0       0       3       2       4       7
21       6       6       6       1       1       0       2       3       4       4
22       3       5       9       3       0       0       1       2       5       6
23       9       6       2       1       1       1       2       2       6       1
24       7       5       4       2       1       1       2       3       5       5
   A_Old_5 A_Old_6 B_New_1 B_New_2 B_New_3 B_New_4 B_New_5 B_New_6 B_Old_1 B_Old_2
1        4       1       5       8       7       0       0       0       0       2
2        2       2       5       7       5       2       1       0       1       2
3        3       2      11       5       2       1       0       1       0       0
4        1       1       8       4       6       2       0       0       1       6
5        3       3       4       8       7       0       1       0       0       0
6        2       1       2       9       7       2       0       0       0       0
7        4       2       5       8       7       0       0       0       2       0
8        6       0      10       6       2       2       0       0       0       0
9        1       3       6       8       6       0       0       0       0       0
10       2       3      10       6       3       0       1       0       3       0
11       4       3       9       5       4       1       0       1       0       0
12       2       1       2       9       6       2       1       0       0       0
13       3       2      11       6       3       0       0       0       3       3
14       3       3       7       7       4       1       1       0       0       3
15       2       3      13       4       3       0       0       0       0       1
16       3       0       5       5       9       1       0       0       0       0
17       1       7       9       5       2       2       1       1       3       5
18       4       2       3       8       7       2       0       0       2       4
19       4       3       4       7       5       3       0       1       0       0
20       2       2      11       6       1       1       0       1       1       0
21       5       2       8       6       2       2       1       1       3       5
22       3       3       5       7       4       3       1       0       0       0
23       4       5      13       6       1       0       0       0       5       5
24       3       2       7       8       3       1       1       0       0       3
   B_Old_3 B_Old_4 B_Old_5 B_Old_6
1        2       5       6       5
2        2       4       4       7
3        0       0       3      17
4        3       8       1       1
5        4       2       9       5
6        2       6       6       6
7        6       5       4       3
8        0       1       3      16
9        4       2       9       5
10       2       5       4       6
11       2       1       3      14
12       1       6       8       5
13       4       5       3       2
14       6       5       5       1
15       1       3       5      10
16       1       7      12       0
17       3       2       0       7
18       6       4       3       1
19       0       2       6      12
20       0       1       2      16
21       2       2       5       3
22       0       4       7       9
23       3       2       2       3
24       3       3       5       6

$restrictions
$restrictions[[1]]
[1] "q1_A=q6_A"

$restrictions[[2]]
[1] "q2_A=q5_A"

$restrictions[[3]]
[1] "q1_B=q6_B"

$restrictions[[4]]
[1] "q2_B=q5_B"


$covData
NULL

$corProbit
[1] TRUE

$predTable
NULL

$predFactorLevels
NULL

$predType
NULL

$transformedParameters
NULL

$hyperprior
$hyperprior$mu
         b_A          b_B         pn_A         pn_B         po_A         po_B 
"dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" 
        q1_A         q1_B         q2_A         q2_B           r1           r2 
"dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" 
          r5           r6 
"dnorm(0,1)" "dnorm(0,1)" 

$hyperprior$xi
[1] "dunif(0,10)"

$hyperprior$V
      [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8] [,9] [,10] [,11] [,12] [,13] [,14]
 [1,]    1    0    0    0    0    0    0    0    0     0     0     0     0     0
 [2,]    0    1    0    0    0    0    0    0    0     0     0     0     0     0
 [3,]    0    0    1    0    0    0    0    0    0     0     0     0     0     0
 [4,]    0    0    0    1    0    0    0    0    0     0     0     0     0     0
 [5,]    0    0    0    0    1    0    0    0    0     0     0     0     0     0
 [6,]    0    0    0    0    0    1    0    0    0     0     0     0     0     0
 [7,]    0    0    0    0    0    0    1    0    0     0     0     0     0     0
 [8,]    0    0    0    0    0    0    0    1    0     0     0     0     0     0
 [9,]    0    0    0    0    0    0    0    0    1     0     0     0     0     0
[10,]    0    0    0    0    0    0    0    0    0     1     0     0     0     0
[11,]    0    0    0    0    0    0    0    0    0     0     1     0     0     0
[12,]    0    0    0    0    0    0    0    0    0     0     0     1     0     0
[13,]    0    0    0    0    0    0    0    0    0     0     0     0     1     0
[14,]    0    0    0    0    0    0    0    0    0     0     0     0     0     1

$hyperprior$df
[1] 15

$hyperprior$IVprec
[1] "dgamma(.5,.5)"


