Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = dy, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "young.jags", 
    parEstFile = "youngratings.txt", posteriorFile = "youngratingsmod.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
11              theta[5,n]*(1-theta[14,n])*theta[13,n]+(1-theta[5,n])*theta[1,n]*(1-theta[7,n])*theta[9,n]
12                                             theta[5,n]*theta[14,n]+(1-theta[5,n])*theta[1,n]*theta[7,n]
13                                         theta[4,n]*theta[11,n]+(1-theta[4,n])*(1-theta[2,n])*theta[8,n]
14         theta[4,n]*(1-theta[11,n])*theta[12,n]+(1-theta[4,n])*(1-theta[2,n])*(1-theta[8,n])*theta[10,n]
15 theta[4,n]*(1-theta[11,n])*(1-theta[12,n])+(1-theta[4,n])*(1-theta[2,n])*(1-theta[8,n])*(1-theta[10,n])
16                                                (1-theta[4,n])*theta[2,n]*(1-theta[8,n])*(1-theta[10,n])
17                                                    (1-theta[4,n])*theta[2,n]*(1-theta[8,n])*theta[10,n]
18                                                                    (1-theta[4,n])*theta[2,n]*theta[8,n]
19                                                                (1-theta[6,n])*(1-theta[2,n])*theta[8,n]
20                                                (1-theta[6,n])*(1-theta[2,n])*(1-theta[8,n])*theta[10,n]
21                                            (1-theta[6,n])*(1-theta[2,n])*(1-theta[8,n])*(1-theta[10,n])
22     theta[6,n]*(1-theta[14,n])*(1-theta[13,n])+(1-theta[6,n])*theta[2,n]*(1-theta[8,n])*(1-theta[10,n])
23             theta[6,n]*(1-theta[14,n])*theta[13,n]+(1-theta[6,n])*theta[2,n]*(1-theta[8,n])*theta[10,n]
24                                             theta[6,n]*theta[14,n]+(1-theta[6,n])*theta[2,n]*theta[8,n]
                                                     Eqn
1                          pn_A*r1+(1-pn_A)*(1-b_A)*q1_A
2          pn_A*(1-r1)*r2+(1-pn_A)*(1-b_A)*(1-q1_A)*q2_A
3  pn_A*(1-r1)*(1-r2)+(1-pn_A)*(1-b_A)*(1-q1_A)*(1-q2_A)
4                         (1-pn_A)*b_A*(1-q6_A)*(1-q5_A)
5                             (1-pn_A)*b_A*(1-q6_A)*q5_A
6                                      (1-pn_A)*b_A*q6_A
7                                  (1-po_A)*(1-b_A)*q1_A
8                         (1-po_A)*(1-b_A)*(1-q1_A)*q2_A
9                     (1-po_A)*(1-b_A)*(1-q1_A)*(1-q2_A)
10     po_A*(1-r6)*(1-r5)+(1-po_A)*b_A*(1-q6_A)*(1-q5_A)
11             po_A*(1-r6)*r5+(1-po_A)*b_A*(1-q6_A)*q5_A
12                             po_A*r6+(1-po_A)*b_A*q6_A
13                         pn_B*r1+(1-pn_B)*(1-b_B)*q1_B
14         pn_B*(1-r1)*r2+(1-pn_B)*(1-b_B)*(1-q1_B)*q2_B
15 pn_B*(1-r1)*(1-r2)+(1-pn_B)*(1-b_B)*(1-q1_B)*(1-q2_B)
16                        (1-pn_B)*b_B*(1-q6_B)*(1-q5_B)
17                            (1-pn_B)*b_B*(1-q6_B)*q5_B
18                                     (1-pn_B)*b_B*q6_B
19                                 (1-po_B)*(1-b_B)*q1_B
20                        (1-po_B)*(1-b_B)*(1-q1_B)*q2_B
21                    (1-po_B)*(1-b_B)*(1-q1_B)*(1-q2_B)
22     po_B*(1-r6)*(1-r5)+(1-po_B)*b_B*(1-q6_B)*(1-q5_B)
23             po_B*(1-r6)*r5+(1-po_B)*b_B*(1-q6_B)*q5_B
24                             po_B*r6+(1-po_B)*b_B*q6_B

$eqnfile
[1] "2htmratings2.eqn"

$data
   A_New_1 A_New_2 A_New_3 A_New_4 A_New_5 A_New_6 A_Old_1 A_Old_2 A_Old_3 A_Old_4 A_Old_5 A_Old_6
25       2       9       7       2       0       0       0       0       0       3       9       8
26       8       7       2       1       2       0       0       1       0       3       7       9
27       1      10       2       4       3       0       0       0       6       3       7       4
28       3       6       4       2       4       1       0       0       1       0       5      14
29       9       3       0       4       0       4       0       0       0       3       2      15
30      10       6       2       1       1       0       0       0       1       2       4      13
31       3       5       6       4       2       0       0       0       1       0       0      19
32       3       6       6       4       1       0       0       0       3       8       7       2
33       6       2       8       0       3       1       0       0       1       1       2      16
34       4       7       6       1       2       0       0       0       0       2       8      10
35       2      11       3       0       4       0       0       0       0       0       4      16
36       2      11       6       1       0       0       0       0       2       4       4      10
37       0       7       8       5       0       0       0       0       4       5       6       5
38       4       5       4       5       2       0       0       0       0       3       8       9
39       8       5       1       3       2       1       0       0       1       2       1      16
40       2       9       3       3       2       0       0       0       3       3       4      10
41       6       7       3       3       1       0       0       1       0       3       5      11
42       0      10       2       4       3       1       1       0       0       0       9      10
43       7       7       5       1       0       0       1       1       3       3       8       4
44       4       6       5       3       1       1       0       0       1       0       3      16
45       4       7       4       3       2       0       0       1       1       4       3      11
46       2       3       8       5       2       0       0       0       1       3       8       8
47       7       3       4       6       0       0       0       2       2       5       5       6
48       3       7       4       5       1       0       0       2       1       3       5       9
   B_New_1 B_New_2 B_New_3 B_New_4 B_New_5 B_New_6 B_Old_1 B_Old_2 B_Old_3 B_Old_4 B_Old_5 B_Old_6
25       4       8       6       2       0       0       0       0       0       0       0      20
26       3       3       8       4       2       0       2       2       2       4       2       8
27       5       5       5       2       3       0       0       0       1       4       8       7
28       8       6       3       2       1       0       0       1       1       4       5       9
29       9       0       2       6       1       2       0       1       2       0       2      15
30       9       3       2       4       1       1       0       0       0       0       0      20
31       3       8       4       5       0       0       3       5       3       3       4       2
32       0       3      11       6       0       0       0       0       2       7       7       4
33       4       5       5       4       1       1       0       0       0       1       2      17
34       0       6       5       6       3       0       1       0       1       3       7       8
35       2       8       6       2       1       1       0       0       0       1       2      17
36       2      12       1       4       0       1       0       0       0       0       0      20
37       0       4      12       3       1       0       0       1       4       7       7       1
38       5       6       6       2       1       0       0       0       0       0       3      17
39       3       3       6       5       2       1       0       0       0       0       0      20
40       1       6       7       4       1       1       0       0       2       1       5      12
41       3      12       2       3       0       0       0       0       0       1       5      14
42       3       9       5       1       1       1       0       0       1       0       0      19
43       8       3       5       1       2       1       0       1       1       0       3      15
44       5       8       3       2       2       0       1       2       3       4       4       6
45       7       7       2       2       1       1       3       2       2       4       3       6
46       1       8       6       3       2       0       0       0       1       2      10       7
47       2       4       5       6       3       0       0       2       0       5       4       9
48       4       5       3       4       2       2       0       0       1       2       5      12

$restrictions
$restrictions[[1]]
[1] "q1_A=q6_A"

$restrictions[[2]]
[1] "q2_A=q5_A"

$restrictions[[3]]
[1] "q1_B=q6_B"

$restrictions[[4]]
[1] "q2_B=q5_B"


$covData
NULL

$corProbit
[1] TRUE

$predTable
NULL

$predFactorLevels
NULL

$predType
NULL

$transformedParameters
NULL

$hyperprior
$hyperprior$mu
         b_A          b_B         pn_A         pn_B         po_A         po_B         q1_A 
"dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" 
        q1_B         q2_A         q2_B           r1           r2           r5           r6 
"dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" "dnorm(0,1)" 

$hyperprior$xi
[1] "dunif(0,10)"

$hyperprior$V
      [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8] [,9] [,10] [,11] [,12] [,13] [,14]
 [1,]    1    0    0    0    0    0    0    0    0     0     0     0     0     0
 [2,]    0    1    0    0    0    0    0    0    0     0     0     0     0     0
 [3,]    0    0    1    0    0    0    0    0    0     0     0     0     0     0
 [4,]    0    0    0    1    0    0    0    0    0     0     0     0     0     0
 [5,]    0    0    0    0    1    0    0    0    0     0     0     0     0     0
 [6,]    0    0    0    0    0    1    0    0    0     0     0     0     0     0
 [7,]    0    0    0    0    0    0    1    0    0     0     0     0     0     0
 [8,]    0    0    0    0    0    0    0    1    0     0     0     0     0     0
 [9,]    0    0    0    0    0    0    0    0    1     0     0     0     0     0
[10,]    0    0    0    0    0    0    0    0    0     1     0     0     0     0
[11,]    0    0    0    0    0    0    0    0    0     0     1     0     0     0
[12,]    0    0    0    0    0    0    0    0    0     0     0     1     0     0
[13,]    0    0    0    0    0    0    0    0    0     0     0     0     1     0
[14,]    0    0    0    0    0    0    0    0    0     0     0     0     0     1

$hyperprior$df
[1] 15

$hyperprior$IVprec
[1] "dgamma(.5,.5)"


