Article,Year,Volume,Issue,Domain,Experiment,n_YA,n_OA,DV,Analysis,measure of latent process,fit model,Level of Fit,Framework,Notes,DOI
"Peich, Husain, Bays. (2013). Age-related decline of precision and binding in visual working memory. Psychology and Aging, 28(3).",2013,28,3,Working memory,1,See notes,See notes,recall error,Mixture model,1,1,Individual,Frequentist,60 aged 19-77. ANOVA done on mixture parameters,10.1037/a0033236
"Jackson, Balota. (2013). Age-related changes in attentional selection: quality of task set or degradation of task set across time? Psychology and Aging, 28(3).",2013,28,3,attention selection,1,51,51,RT; Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033159
"Jackson, Balota. (2013). Age-related changes in attentional selection: quality of task set or degradation of task set across time? Psychology and Aging, 28(3).",2013,28,3,attention selection,2,52,54,RT; Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033159
"Matzen, Benjamin. (2013). Older and wiser: older adults' episodic word memory benefits from sentence study contexts. Psychology and Aging, 28(3).",2013,28,3,memory,1,0,25,d_a,ANOVA,1,1,NA,Frequentist,NA,10.1037/a0032945
"Matzen, Benjamin. (2013). Older and wiser: older adults' episodic word memory benefits from sentence study contexts. Psychology and Aging, 28(3).",2013,28,3,memory,2,32,32,d_a,ANOVA,1,1,NA,Frequentist,NA,10.1037/a0032945
"Charlton, Barrick, Markus, Morris. (2013). Verbal working and long-term episodic memory associations with white matter microstructure in normal aging investigated using tract-based spatial statistics. Psychology and Aging, 28(3).",2013,28,3,memory,1,0,106,Composite score,correlation,0,0,NA,Frequentist,interested in correlating WM and episodic memory measures with white matter,10.1037/a0032668
"Frank, Touron, Hertzog. (2013). Age differences in strategy shift: retrieval avoidance or general shift reluctance? Psychology and Aging, 28(3).",2013,28,3,skill acquisition,1,85,67,number of blocks to reach criterion; RT; Strategy reports,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030473
"Hess, Popham, Dennis, Emery. (2013). Information content moderates positivity and negativity biases in memory. Psychology and Aging, 28(3).",2013,28,3,memory,1,64,63,Proportion recalled,ANOVA,0,0,NA,Frequentist,66 middle aged,10.1037/a0031440
"Hess, Popham, Dennis, Emery. (2013). Information content moderates positivity and negativity biases in memory. Psychology and Aging, 28(3).",2013,28,3,memory,2,66,60,Proportion recalled,ANOVA,0,0,NA,Frequentist,66 middle aged,10.1037/a0031440
"Robitaille, Piccinin, Muniz-Terrera, Hoffman, Johansson, Deeg, Aartsen, Comijs, Hofer. (2013). Longitudinal mediation of processing speed on age-related change in memory and fluid intelligence. Psychology and Aging, 28(4).",2013,28,4,processing speed; memory; gf,1,0,470,Raw scores,SEM,0,0,NA,Frequentist,NA,10.1037/a0033316
"Danckert, Craik. (2013). Does aging affect recall more than recognition memory? Psychology and Aging, 28(4).",2013,28,4,memory,1,48,24,Pr; proportion recalled,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0033263
"Danckert, Craik. (2013). Does aging affect recall more than recognition memory? Psychology and Aging, 28(4).",2013,28,4,memory,2,25,28,Pr; proportion recalled,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0033263
"Danckert, Craik. (2013). Does aging affect recall more than recognition memory? Psychology and Aging, 28(4).",2013,28,4,memory,3,41,40,Pr; proportion recalled,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0033263
"Mullet, Scullin, Hess, Scullin, Arnold, Einstein. (2013). Prospective memory and aging: evidence for preserved spontaneous retrieval with exact but not related cues. Psychology and Aging, 28(4).",2013,28,4,Prospective memory,1,36,48,Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034347
"Mullet, Scullin, Hess, Scullin, Arnold, Einstein. (2013). Prospective memory and aging: evidence for preserved spontaneous retrieval with exact but not related cues. Psychology and Aging, 28(4).",2013,28,4,Prospective memory,2,64,65,Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034347
"Mullet, Scullin, Hess, Scullin, Arnold, Einstein. (2013). Prospective memory and aging: evidence for preserved spontaneous retrieval with exact but not related cues. Psychology and Aging, 28(4).",2013,28,4,Prospective memory,3,48,48,Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034347
"Depping, Freund. (2013). When choice matters: task-dependent memory effects in older adulthood. Psychology and Aging, 28(4).",2013,28,4,memory,1,66,73,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034520
"Depping, Freund. (2013). When choice matters: task-dependent memory effects in older adulthood. Psychology and Aging, 28(4).",2013,28,4,memory,2,62,60,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034520
"Simon, Gluck. (2013). Adult age differences in learning and generalization of feedback-based associations. Psychology and Aging, 28(4).",2013,28,4,Learning,1,32,64,Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033844
"Plaks, Chasteen. (2013). Entity versus incremental theories predict older adults' memory performance. Psychology and Aging, 28(4).",2013,28,4,memory,1,0,83,Proportion recalled,correlation; regression,0,0,NA,Frequentist,NA,10.1037/a0034348
"Plaks, Chasteen. (2013). Entity versus incremental theories predict older adults' memory performance. Psychology and Aging, 28(4).",2013,28,4,memory,2,0,132,Proportion recalled,correlation; regression,0,0,NA,Frequentist,NA,10.1037/a0034348
"Plaks, Chasteen. (2013). Entity versus incremental theories predict older adults' memory performance. Psychology and Aging, 28(4).",2013,28,4,memory,3,0,88,Proportion recalled,correlation; regression,0,0,NA,Frequentist,NA,10.1037/a0034348
"Xu, Jones, Barnett, Gaysina, Kuh, Croudace, Richards. (2013). Adolescent self-organization predicts midlife memory in a prospective birth cohort study. Psychology and Aging, 28(4).",2013,28,4,memory,1,0,2229,Raw scores,SEM,0,0,NA,Frequentist,NA,10.1037/a0033787
"Murray, Kensinger. (2013). Age-related changes in associative memory for emotional and nonemotional integrative representations. Psychology and Aging, 28(4).",2013,28,4,memory,1,24,24,recognition accuracy; cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034443
"Murray, Kensinger. (2013). Age-related changes in associative memory for emotional and nonemotional integrative representations. Psychology and Aging, 28(4).",2013,28,4,memory,2,24,24,recognition accuracy; cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034443
"Bell, Giang, Mund, Buchner. (2013). Memory for reputational trait information: is social-emotional information processing less flexible in old age? Psychology and Aging, 28(4).",2013,28,4,memory,1,97,97,Source judgements,MPT,1,1,Group,Frequentist,they don’t explicitly state whether the model was fit to group or individual but the G^2 comparisons suggest the former,10.1037/a0034266
"Castel, McGillivray, Worden. (2013). Back to the future: past and future era-based schematic support and associative memory for prices in younger and older adults. Psychology and Aging, 28(4).",2013,28,4,memory,1,30,30,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034160
"Castel, McGillivray, Worden. (2013). Back to the future: past and future era-based schematic support and associative memory for prices in younger and older adults. Psychology and Aging, 28(4).",2013,28,4,memory,2,32,32,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034160
"Butler, Weywadt. (2013). Age differences in voluntary task switching. Psychology and Aging, 28(4).",2013,28,4,task switching,1,33,30,Probability of switching; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034937
"Harty, O'Connell, Hester, Robertson. (2013). Older adults have diminished awareness of errors in the laboratory and daily life. Psychology and Aging, 28(4).",2013,28,4,attention control,1,45,45,Accuracy; RT; Error awareness,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033567
"Maddox, Chandrasekaran, Smayda, Yi. (2013). Dual systems of speech category learning across the lifespan. Psychology and Aging, 28(4).",2013,28,4,category learning,1,21,17,Number of trials to reach criterion,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034969
"Maddox, Chandrasekaran, Smayda, Yi. (2013). Dual systems of speech category learning across the lifespan. Psychology and Aging, 28(4).",2013,28,4,category learning,2,19,17,Number of trials to reach criterion,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0034969
"Maddox, Chandrasekaran, Smayda, Yi. (2013). Dual systems of speech category learning across the lifespan. Psychology and Aging, 28(4).",2013,28,4,category learning,3,38,35,Accuracy,Computational model,1,1,Individual,Frequentist,compared various models of category learning,10.1037/a0034969
"Overvliet, Wagemans, Krampe. (2013). The effects of aging on haptic 2D shape recognition. Psychology and Aging, 28(4).",2013,28,4,haptic shape recognition,1,12,12,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033415
"Overvliet, Wagemans, Krampe. (2013). The effects of aging on haptic 2D shape recognition. Psychology and Aging, 28(4).",2013,28,4,haptic shape recognition,2,12,12,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033415
"Overvliet, Wagemans, Krampe. (2013). The effects of aging on haptic 2D shape recognition. Psychology and Aging, 28(4).",2013,28,4,haptic shape recognition,3,12,12,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033415
"Infurna, Gerstorf. (2013). Linking perceived control, physical activity, and biological health to memory change. Psychology and Aging, 28(4).",2013,28,4,memory,1,See notes,See notes,Proportion recalled,latent change score model,0,0,NA,Frequentist,4177 aged 30-97,10.1037/a0033327
"Riediger, Wrzus, Klipker, Müller, Schmiedek, Wagner. (2014). Outside of the laboratory: Associations of working-memory performance with psychological and physiological arousal vary with age. Psychology and Aging, 29(1).",2014,29,1,Working memory,1,See notes,See notes,Accuracy,MLM,0,0,NA,Frequentist,92 aged 14.7 to 83.2,10.1037/a0035766
"Bugg. (2014). Evidence for the sparing of reactive cognitive control with age. Psychology and Aging, 29(1).",2014,29,1,cognitive control,1,16,25,RT; errors,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0035270
"Bugg. (2014). Evidence for the sparing of reactive cognitive control with age. Psychology and Aging, 29(1).",2014,29,1,cognitive control,2,48,33,RT; errors,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0035270
"Aguirre, Gómez-Ariza, Bajo, Andrés, Mazzoni. (2014). Selective voluntary forgetting in young and older adults. Psychology and Aging, 29(1).",2014,29,1,memory,1.1,48,48,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0035598
"Aguirre, Gómez-Ariza, Bajo, Andrés, Mazzoni. (2014). Selective voluntary forgetting in young and older adults. Psychology and Aging, 29(1).",2014,29,1,memory,1.2,0,44,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0035598
"Aguirre, Gómez-Ariza, Bajo, Andrés, Mazzoni. (2014). Selective voluntary forgetting in young and older adults. Psychology and Aging, 29(1).",2014,29,1,memory,2,48,44,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0035598
"Fandakova, Sander, Werkle-Bergner, Shing. (2014). Age differences in short-term memory binding are related to working memory performance across the lifespan. Psychology and Aging, 29(1).",2014,29,1,Working memory,1,84,86,hits; false-alarms; span,SEM,0,0,NA,Frequentist,85 children 44 teenagers,10.1037/a0035347
"Moore, Grant, Zink, Panizzon, Franz, Logue, Hauger, Kremen, Lyons. (2014). Erectile dysfunction, vascular risk, and cognitive performance in late middle age. Psychology and Aging, 29(1).",2014,29,1,Various domains,1,0,651,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0035463
"Mutter, Plumlee. (2014). The effects of age on associative and rule-based causal learning and generalization. Psychology and Aging, 29(2).",2014,29,2,Learning,1,48,48,Percent predictions of particular types,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0035930
"Mutter, Plumlee. (2014). The effects of age on associative and rule-based causal learning and generalization. Psychology and Aging, 29(2).",2014,29,2,Learning,2,30,30,Percent predictions of particular types,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0035930
"Pettigrew, Martin. (2014). Cognitive declines in healthy aging: evidence from multiple aspects of interference resolution. Psychology and Aging, 29(2).",2014,29,2,Various domains,1,102,60,Raw scores,MANOVA; SEM,0,0,NA,Frequentist,NA,10.1037/a0036085
"Payne, Stine-Morrow. (2014). Adult age differences in wrap-up during sentence comprehension: evidence from ex-Gaussian distributional analyses of reading time. Psychology and Aging, 29(2).",2014,29,2,sentence comprehension,1,128,117,RT,Ex-gaussian model,1,1,Individual,Frequentist,"Model was fit using max lik and parameters analyzed with MLM. From p 218 “Markov chain Monte Carlo sampling was used to generate 95% highest posterior density intervals (95% HDI) for all fixed effect parameters (Baayen et al., 2008; Kruschke, 2011). Models were estimated using the lmer function in the lme4 package (Bates, Maechler, & Bolker, 2013) in R (R Core Team, 2013).”",10.1037/a0036282
"Tucker-Drob, Briley, Starr, Deary. (2014). Structure and correlates of cognitive aging in a narrow age cohort. Psychology and Aging, 29(2).",2014,29,2,Various domains,1,0,1091,Raw scores,Latent difference score model,0,0,NA,Frequentist,NA,10.1037/a0036187
"Schnitzspahn, Thorley, Phillips, Voigt, Threadgold, Hammond, Mustafa, Kliegel. (2014). Mood impairs time-based prospective memory in young but not older adults: the mediating role of attentional control. Psychology and Aging, 29(2).",2014,29,2,Prospective memory,1,64,57,Accuracy,ANOVA; mediation analysis,0,0,NA,Frequentist,NA,10.1037/a0036389
"Weller, Buchanan, Shackleford, Morganstern, Hartman, Yuska, Denburg. (2014). Diurnal cortisol rhythm is associated with increased risky decision-making in older adults. Psychology and Aging, 29(2).",2014,29,2,Decision making,1,0,69,Choice type (safe/risky),GEE,0,0,NA,Frequentist,NA,10.1037/a0036623
"Allerhand, Gale, Deary. (2014). The dynamic relationship between cognitive function and positive well-being in older people: a prospective study using the English Longitudinal Study of Aging. Psychology and Aging, 29(2).",2014,29,2,Various domains,1,0,10985,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0036551
"Greenwood, Lin, Sundararajan, Fryxell, Parasuraman. (2014). Healthy aging increases the cognitive effects of two genes that influence extracellular dopamine. Psychology and Aging, 29(2).",2014,29,2,Working memory,1,See notes,See notes,Accuracy,ANOVA,0,0,NA,Frequentist,858 young middle and older adults. The rest of the articles in this issue are about genetic effects on cognition,10.1037/a0036109
"Papenberg, Bäckman, Nagel, Nietfeld, Schröder, Bertram, Heekeren, Lindenberger, Li. (2014). COMT polymorphism and memory dedifferentiation in old age. Psychology and Aging, 29(2).",2014,29,2,memory,1,973,1333,Raw scores,factor analysis,0,0,NA,Frequentist,NA,10.1037/a0033225
"Ghisletta, Bäckman, Bertram, Brandmaier, Gerstorf, Liu, Lindenberger. (2014). The Val/Met polymorphism of the brain-derived neurotrophic factor (BDNF) gene predicts decline in perceptual speed in older adults. Psychology and Aging, 29(2).",2014,29,2,Speed,1,0,376,RT,MLM,0,0,NA,Frequentist,NA,10.1037/a0035201
"Das, Tan, Bielak, Cherbuin, Easteal, Anstey. (2014). Cognitive ability, intraindividual variability, and common genetic variants of catechol-O-methyltransferase and brain-derived neurotrophic factor: a longitudinal study in a population-based sample of older adults. Psychology and Aging, 29(2).",2014,29,2,Various domains,1,0,400,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0035702
"Kremen, Panizzon, Franz, Spoon, Vuoksimaa, Jacobson, Vasilopoulos, Xian, McCaffery, Rana, Toomey, McKenzie, Lyons. (2014). Genetic complexity of episodic memory: a twin approach to studies of aging. Psychology and Aging, 29(2).",2014,29,2,memory,1,0,1237,Composite score,SEM,0,0,NA,Frequentist,NA,10.1037/a0035962
"McFall, Wiebe, Vergote, Jhamandas, Westaway, Dixon. (2014). IDE (rs6583817) polymorphism and pulse pressure are independently and interactively associated with level and change in executive function in older adults. Psychology and Aging, 29(2).",2014,29,2,Executive functioning,1,0,599,Raw scores,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0034656
"de Frias, Schaie, Willis. (2014). Hypertension moderates the effect of APOE on 21-year cognitive trajectories. Psychology and Aging, 29(2).",2014,29,2,Various domains,1,See notes,See notes,Raw scores,MLM,0,0,NA,Frequentist,563 aged 32-74,10.1037/a0036828
"Ferencz, Laukka, Welmer, Kalpouzos, Angleman, Keller, Graff, Lövdén, Bäckman. (2014). The benefits of staying active in old age: physical activity counteracts the negative influence of PICALM, BIN1, and CLU risk alleles on episodic memory functioning. Psychology and Aging, 29(2).",2014,29,2,memory,1,0,2480,Raw scores,ANCOVA,0,0,NA,Frequentist,NA,10.1037/a0035465
"Kalokerinos, von Hippel, Henry, Trivers. (2014). The aging positivity effect and immune function: positivity in recall predicts higher CD4 counts and lower CD4 activation. Psychology and Aging, 29(3).",2014,29,3,memory,1,0,57,Proportion recalled; d’; beta,ANOVA; regression,1,0,NA,Frequentist,NA,10.1037/a0037452
"Anderson, Campbell, Amer, Grady, Hasher. (2014). Timing is everything: Age differences in the cognitive control network are modulated by time of day. Psychology and Aging, 29(3).",2014,29,3,cognitive control,1,16,34,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0037243
"Wilckens, Woo, Kirk, Erickson, Wheeler. (2014). Role of sleep continuity and total sleep time in executive function across the adult lifespan. Psychology and Aging, 29(3).",2014,29,3,Executive functioning; various domains,1,59,53,Raw scores,Regression; moderation,0,0,NA,Frequentist,NA,10.1037/a0037234
"Wais, Gazzaley. (2014). External distraction impairs categorization performance in older adults. Psychology and Aging, 29(3).",2014,29,3,Categorization,1,19,22,categorization threshold,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0037617
"Naveh-Benjamin, Kilb. (2014). Age-related differences in associative memory: the role of sensory decline. Psychology and Aging, 29(3).",2014,29,3,memory,1,30,31,Pr,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0037138
"Naveh-Benjamin, Kilb. (2014). Age-related differences in associative memory: the role of sensory decline. Psychology and Aging, 29(3).",2014,29,3,memory,2,43,18,Pr,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0037138
"Staub, Doignon-Camus, Bacon, Bonnefond. (2014). The effects of aging on sustained attention ability: an ERP study. Psychology and Aging, 29(3).",2014,29,3,sustained attention,1,22,25,RT; error rates,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0037067
"Bialystok, Poarch, Luo, Craik. (2014). Effects of bilingualism and aging on executive function and working memory. Psychology and Aging, 29(3).",2014,29,3,Executive functioning,1,71,59,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0037254
"Bialystok, Poarch, Luo, Craik. (2014). Effects of bilingualism and aging on executive function and working memory. Psychology and Aging, 29(3).",2014,29,3,Working memory,2,72,36,RT; Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0037254
"McDaniel, Binder, Bugg, Waldum, Dufault, Meyer, Johanning, Zheng, Schechtman, Kudelka. (2014). Effects of cognitive training with and without aerobic exercise on cognitively demanding everyday activities. Psychology and Aging, 29(3).",2014,29,3,cognitive training; various domains,1,0,96,Raw scores,ANOVA; ANCOVA,0,0,NA,Frequentist,NA,10.1037/a0037363
"Chambon, Herrera, Romaiguere, Paban, Alescio-Lautier. (2014). Benefits of computer-based memory and attention training in healthy older adults. Psychology and Aging, 29(3).",2014,29,3,cognitive training; memory,1,0,45,Raw scores,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0037477
"Brom, Kliegel. (2014). Improving everyday prospective memory performance in older adults: comparing cognitive process and strategy training. Psychology and Aging, 29(3).",2014,29,3,cognitive training; prospective memory,1,0,62,Raw scores,ANOVA; moderator analysis,0,0,NA,Frequentist,NA,10.1037/a0037181
"Hülür, Hertzog, Pearman, Ram, Gerstorf. (2014). Longitudinal associations of subjective memory with memory performance and depressive symptoms: between-person and within-person perspectives. Psychology and Aging, 29(4).",2014,29,4,memory,1,0,27395,Proportion recalled,MLM,0,0,NA,Frequentist,NA,10.1037/a0037619
"Pearman, Hertzog, Gerstorf. (2014). Little evidence for links between memory complaints and memory performance in very old age: longitudinal analyses from the Berlin Aging Study. Psychology and Aging, 29(4).",2014,29,4,memory,1,0,516,Composite score,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0037141
"Parisi, Franchetti, Rebok, Spira, Carlson, Willis, Gross. (2014). Depressive symptoms and inductive reasoning performance: findings from the ACTIVE reasoning training intervention. Psychology and Aging, 29(4).",2014,29,4,reasoning,1,0,1375,Composite score,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0037670
"Rickenbach, Almeida, Seeman, Lachman. (2014). Daily stress magnifies the association between cognitive decline and everyday memory problems: an integration of longitudinal and diary methods. Psychology and Aging, 29(4).",2014,29,4,Various domains,1,0,112,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0038072
"Bielak, Gerstorf, Anstey, Luszcz. (2014). Longitudinal associations between activity and cognition vary by age, activity type, and cognitive domain. Psychology and Aging, 29(4).",2014,29,4,Various domains,1,0,1321,Raw scores,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0036960
"Lyons, Henry, Rendell, Corballis, Suddendorf. (2014). Episodic foresight and aging. Psychology and Aging, 29(4).",2014,29,4,episodic foresight,1,51,53,Accuracy,Chi-sq; ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038130
"Lyons, Henry, Rendell, Corballis, Suddendorf. (2014). Episodic foresight and aging. Psychology and Aging, 29(4).",2014,29,4,episodic foresight,2,40,40,Accuracy,Chi-sq; ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038130
"Gawrylowicz, Memon, Scoboria, Hope, Gabbert. (2014). Enhancing older adults' eyewitness memory for present and future events with the Self-Administered Interview. Psychology and Aging, 29(4).",2014,29,4,Eyewitness memory,1,0,80,recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038048
"Stine-Morrow, Payne, Roberts, Kramer, Morrow, Payne, Hill, Jackson, Gao, Noh, Janke, Parisi. (2014). Training versus engagement as paths to cognitive enrichment with aging. Psychology and Aging, 29(4).",2014,29,4,cognitive training; various domains,1,0,461,Raw scores,latent change score model,0,0,NA,Frequentist,NA,10.1037/a0038244
"Lash, Wingfield. (2014). A Bruner-Potter effect in audition? Spoken word recognition in adult aging. Psychology and Aging, 29(4).",2014,29,4,Word recognition,1,40,40,Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0037829
"Madore, Schacter. (2014). An episodic specificity induction enhances means-end problem solving in young and older adults. Psychology and Aging, 29(4).",2014,29,4,memory,1,48,48,number of details reported,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038209
"Aschenbrenner, Balota. (2015). Interactive effects of working memory and trial history on Stroop interference in cognitively healthy aging. Psychology and Aging, 30(1).",2015,30,1,Working memory,1,See notes,See notes,RT,MLM,0,0,NA,Frequentist,435 aged 30-96,10.1037/pag0000012
"Murray, Anderson, Kensinger. (2015). Older adults can suppress unwanted memories when given an appropriate strategy. Psychology and Aging, 30(1).",2015,30,1,memory,1,22,44,Cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038611
"Murray, Anderson, Kensinger. (2015). Older adults can suppress unwanted memories when given an appropriate strategy. Psychology and Aging, 30(1).",2015,30,1,memory,2,20,48,Cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038611
"Pertzov, Heider, Liang, Husain. (2015). Effects of healthy ageing on precision and binding of object location in visual short term memory. Psychology and Aging, 30(1).",2015,30,1,Working memory,1,See notes,See notes,2AFC accuracy; error types,ANOVA; correlations,0,0,NA,Frequentist,139 aged 19-83,10.1037/a0038396
"Hartley, Seaman, Maquestiaux. (2015). Ideomotor-compatible tasks partially escape dual-task interference in both young and elderly adults. Psychology and Aging, 30(1).",2015,30,1,Dual tasking,1,31,28,RT; Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/pag0000015
"Hartley, Seaman, Maquestiaux. (2015). Ideomotor-compatible tasks partially escape dual-task interference in both young and elderly adults. Psychology and Aging, 30(1).",2015,30,1,Dual tasking,2,17,16,RT; Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/pag0000015
"Dodson, Powers, Lytell. (2015). Aging, confidence, and misinformation: recalling information with the cognitive interview. Psychology and Aging, 30(1).",2015,30,1,memory,1,59,30,quantity recalled; accuracy; confidence,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038492
"Dodson, Powers, Lytell. (2015). Aging, confidence, and misinformation: recalling information with the cognitive interview. Psychology and Aging, 30(1).",2015,30,1,memory,2,96,46,quantity recalled; accuracy; confidence,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0038492
"Wilson, Boyle, Yu, Segawa, Sytsma, Bennett. (2015). Conscientiousness, dementia related pathology, and trajectories of cognitive aging. Psychology and Aging, 30(1).",2015,30,1,Various domains,1,0,1522,Composite score,MLM,0,0,NA,Bayesian,used BUGS,10.1037/pag0000013
"Karlsson, Thorvaldsson, Skoog, Gudmundsson, Johansson. (2015). Birth cohort differences in fluid cognition in old age: comparisons of trends in levels and change trajectories over 30 years in three population-based samples. Psychology and Aging, 30(1).",2015,30,1,Various domains,1,0,1480,Raw scores,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0038643
"Prakash, Hussain, Schirda. (2015). The role of emotion regulation and cognitive control in the association between mindfulness disposition and stress. Psychology and Aging, 30(1).",2015,30,1,cognitive control,1,50,50,RT; Accuracy,mediation analysis,0,0,NA,Frequentist,NA,10.1037/a0038544
"Gardner, Ascoli. (2015). The natural frequency of human prospective memory increases with age. Psychology and Aging, 30(2).",2015,30,2,Prospective memory,1,See notes,See notes,probability of recall; rate of recall; duration of recall,correlation,0,0,NA,Frequentist,106 aged 18-75,10.1037/a0038876
"Giesen, Eberhard, Rothermund. (2015). Loss of attentional inhibition in older adults--Does it really exist? An experimental dissociation of inhibitory and memory retrieval processes. Psychology and Aging, 30(2).",2015,30,2,inhibition,1,40,43,RT; error rates,MANOVA; regression,0,0,NA,Frequentist,NA,10.1037/pag0000022
"Bailey, Zacks. (2015). Situation model updating in young and older adults: Global versus incremental mechanisms. Psychology and Aging, 30(2).",2015,30,2,event perception/situation models,1,37,40,reading time; RT; accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0039081
"Groß, Bayen. (2015). Adult age differences in hindsight bias: The role of recall ability. Psychology and Aging, 30(2).",2015,30,2,memory,1,87,41,category of response,MPT,0,0,NA,Frequentist,NA,10.1037/pag0000017
"Radvansky, Pettijohn, Kim. (2015). Walking through doorways causes forgetting: Younger and older adults. Psychology and Aging, 30(2).",2015,30,2,memory,1,29,16,RT; error rates,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0039259
"Wilson, Capuano, Sytsma, Bennett, Barnes. (2015). Cognitive aging in older Black and White persons. Psychology and Aging, 30(2).",2015,30,2,Various domains,1,0,1294,composite scores,MLM,0,0,NA,Frequentist,split into black and white groups of equal size,10.1037/pag0000024
"Panizzon, Neale, Docherty, Franz, Jacobson, Toomey, Xian, Vasilopoulos, Rana, McKenzie, Lyons, Kremen. (2015). Genetic and environmental architecture of changes in episodic memory from middle to late middle age. Psychology and Aging, 30(2).",2015,30,2,memory,1,0,1237,Raw scores,latent change score model,0,0,NA,Frequentist,NA,10.1037/pag0000023
"Gerstorf, Hülür, Drewelies, Eibich, Duezel, Demuth, Ghisletta, Steinhagen-Thiessen, Wagner, Lindenberger. (2015). Secular changes in late-life cognition and well-being: Towards a long bright future with a short brisk ending? Psychology and Aging, 30(2).",2015,30,2,Processing speed,1,0,1224,digit symbol n correct,ANOVA,0,0,NA,Frequentist,NA,10.1037/pag0000016
"Hülür, Ram, Willis, Schaie, Gerstorf. (2015). Cognitive dedifferentiation with increasing age and proximity of death: Within-person evidence from the Seattle Longitudinal Study. Psychology and Aging, 30(2).",2015,30,2,Various domains,1,0,419,Raw scores,GLM; MLM,0,0,NA,Frequentist,NA,10.1037/a0039260
"Trelle, Henson, Simons. (2015). Identifying age-invariant and age-limited mechanisms for enhanced memory performance: Insights from self-referential processing in younger and older adults. Psychology and Aging, 30(2).",2015,30,2,memory,1,48,48,Pr; free recall,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0039116
